node_title,tensor_shape,shape size,Tensor size,Tensor storage size,input_dim,node_addr,CXL_RD,CXL_WR,Input layer size details
transpose_8_92,1x48x11,2112,2256,2176,,,2112,2112, linear_22_90(2112)
matmul_15_93,1x11x11,484,628,548,,,4224,484, linear_23_91(2112) transpose_8_92(2112)
mul_8_94,1x11x11,484,628,548,,,484,484, matmul_15_93(484)
getitem_8_95,11x11,484,612,262208,,,262144,484, buffer_8(262144)
eq_8_96,11x11,121,249,185,,,484,121, getitem_8_95(484)
maskedfill_8_97,1x11x11,484,628,548,,,605,484, mul_8_94(484) eq_8_96(121)
softmax_8_98,1x11x11,484,628,548,,,484,484, maskedfill_8_97(484)
dropout_8_99,1x11x11,484,628,548,,blocks.0.sa.heads.7.dropout,484,484, softmax_8_98(484)
linear_24_100,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.7.value,16896,2112, layernorm_1_5(16896)
matmul_16_101,1x11x48,2112,2256,2176,,blocks.0.sa.heads.7,2596,2112, dropout_8_99(484) linear_24_100(2112)
cat_1_102,1x11x384,16896,17040,16960,,,16896,16896, matmul_2_17(2112) matmul_4_29(2112) matmul_6_41(2112) matmul_8_53(2112) matmul_10_65(2112) matmul_12_77(2112) matmul_14_89(2112) matmul_16_101(2112)
linear_25_103,1x11x384,16896,17040,16960,"params: 384x384, x384",blocks.0.sa.proj,16896,16896, cat_1_102(16896)
dropout_9_104,1x11x384,16896,17040,16960,,blocks.0.sa.dropout,16896,16896, linear_25_103(16896)
add_2_105,1x11x384,16896,17040,16960,,,33792,16896, add_1_4(16896) dropout_9_104(16896)
layernorm_2_106,1x11x384,16896,17040,16960,"params: x384, x384",blocks.0.ln2,16896,16896, add_2_105:1(16896)
linear_26_107,1x11x1536,67584,67728,67648,"params: 1536x384, x1536",blocks.0.ffwd.net.0,16896,67584, layernorm_2_106(16896)
relu_1_108,1x11x1536,67584,67728,67648,,blocks.0.ffwd.net.1,67584,67584, linear_26_107(67584)
linear_27_109,1x11x384,16896,17040,16960,"params: 384x1536, x384",blocks.0.ffwd.net.2,67584,16896, relu_1_108(67584)
dropout_10_110,1x11x384,16896,17040,16960,,blocks.0.ffwd.net.3,16896,16896, linear_27_109(16896)
add_2_105,1x11x384,16896,17040,16960,,,33792,16896, add_2_105:1(16896) dropout_10_110(16896)
layernorm_3_111,1x11x384,16896,17040,16960,"params: x384, x384",blocks.1.ln1,16896,16896, add_2_105:2(16896)
linear_28_112,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.0.key,16896,2112, layernorm_3_111(16896)
linear_29_113,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.0.query,16896,2112, layernorm_3_111(16896)
transpose_9_114,1x48x11,2112,2256,2176,,,2112,2112, linear_28_112(2112)
matmul_17_115,1x11x11,484,628,548,,,4224,484, linear_29_113(2112) transpose_9_114(2112)
mul_9_116,1x11x11,484,628,548,,,484,484, matmul_17_115(484)
getitem_9_117,11x11,484,612,262208,,,262144,484, buffer_9(262144)
eq_9_118,11x11,121,249,185,,,484,121, getitem_9_117(484)
maskedfill_9_119,1x11x11,484,628,548,,,605,484, mul_9_116(484) eq_9_118(121)
softmax_9_120,1x11x11,484,628,548,,,484,484, maskedfill_9_119(484)
dropout_11_121,1x11x11,484,628,548,,blocks.1.sa.heads.0.dropout,484,484, softmax_9_120(484)
linear_30_122,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.0.value,16896,2112, layernorm_3_111(16896)
matmul_18_123,1x11x48,2112,2256,2176,,blocks.1.sa.heads.0,2596,2112, dropout_11_121(484) linear_30_122(2112)
linear_31_124,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.1.key,16896,2112, layernorm_3_111(16896)
linear_32_125,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.1.query,16896,2112, layernorm_3_111(16896)
transpose_10_126,1x48x11,2112,2256,2176,,,2112,2112, linear_31_124(2112)
matmul_19_127,1x11x11,484,628,548,,,4224,484, linear_32_125(2112) transpose_10_126(2112)
mul_10_128,1x11x11,484,628,548,,,484,484, matmul_19_127(484)
getitem_10_129,11x11,484,612,262208,,,262144,484, buffer_10(262144)
eq_10_130,11x11,121,249,185,,,484,121, getitem_10_129(484)
maskedfill_10_131,1x11x11,484,628,548,,,605,484, mul_10_128(484) eq_10_130(121)
softmax_10_132,1x11x11,484,628,548,,,484,484, maskedfill_10_131(484)
dropout_12_133,1x11x11,484,628,548,,blocks.1.sa.heads.1.dropout,484,484, softmax_10_132(484)
linear_33_134,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.1.value,16896,2112, layernorm_3_111(16896)
matmul_20_135,1x11x48,2112,2256,2176,,blocks.1.sa.heads.1,2596,2112, dropout_12_133(484) linear_33_134(2112)
linear_34_136,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.2.key,16896,2112, layernorm_3_111(16896)
linear_35_137,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.2.query,16896,2112, layernorm_3_111(16896)
transpose_11_138,1x48x11,2112,2256,2176,,,2112,2112, linear_34_136(2112)
matmul_21_139,1x11x11,484,628,548,,,4224,484, linear_35_137(2112) transpose_11_138(2112)
mul_11_140,1x11x11,484,628,548,,,484,484, matmul_21_139(484)
getitem_11_141,11x11,484,612,262208,,,262144,484, buffer_11(262144)
eq_11_142,11x11,121,249,185,,,484,121, getitem_11_141(484)
maskedfill_11_143,1x11x11,484,628,548,,,605,484, mul_11_140(484) eq_11_142(121)
softmax_11_144,1x11x11,484,628,548,,,484,484, maskedfill_11_143(484)
dropout_13_145,1x11x11,484,628,548,,blocks.1.sa.heads.2.dropout,484,484, softmax_11_144(484)
linear_36_146,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.2.value,16896,2112, layernorm_3_111(16896)
matmul_22_147,1x11x48,2112,2256,2176,,blocks.1.sa.heads.2,2596,2112, dropout_13_145(484) linear_36_146(2112)
linear_37_148,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.3.key,16896,2112, layernorm_3_111(16896)
linear_38_149,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.3.query,16896,2112, layernorm_3_111(16896)
transpose_12_150,1x48x11,2112,2256,2176,,,2112,2112, linear_37_148(2112)
matmul_23_151,1x11x11,484,628,548,,,4224,484, linear_38_149(2112) transpose_12_150(2112)
mul_12_152,1x11x11,484,628,548,,,484,484, matmul_23_151(484)
getitem_12_153,11x11,484,612,262208,,,262144,484, buffer_12(262144)
eq_12_154,11x11,121,249,185,,,484,121, getitem_12_153(484)
maskedfill_12_155,1x11x11,484,628,548,,,605,484, mul_12_152(484) eq_12_154(121)
softmax_12_156,1x11x11,484,628,548,,,484,484, maskedfill_12_155(484)
dropout_14_157,1x11x11,484,628,548,,blocks.1.sa.heads.3.dropout,484,484, softmax_12_156(484)
linear_39_158,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.3.value,16896,2112, layernorm_3_111(16896)
matmul_24_159,1x11x48,2112,2256,2176,,blocks.1.sa.heads.3,2596,2112, dropout_14_157(484) linear_39_158(2112)
linear_40_160,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.4.key,16896,2112, layernorm_3_111(16896)
linear_41_161,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.4.query,16896,2112, layernorm_3_111(16896)
transpose_13_162,1x48x11,2112,2256,2176,,,2112,2112, linear_40_160(2112)
matmul_25_163,1x11x11,484,628,548,,,4224,484, linear_41_161(2112) transpose_13_162(2112)
mul_13_164,1x11x11,484,628,548,,,484,484, matmul_25_163(484)
getitem_13_165,11x11,484,612,262208,,,262144,484, buffer_13(262144)
eq_13_166,11x11,121,249,185,,,484,121, getitem_13_165(484)
maskedfill_13_167,1x11x11,484,628,548,,,605,484, mul_13_164(484) eq_13_166(121)
softmax_13_168,1x11x11,484,628,548,,,484,484, maskedfill_13_167(484)
dropout_15_169,1x11x11,484,628,548,,blocks.1.sa.heads.4.dropout,484,484, softmax_13_168(484)
linear_42_170,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.4.value,16896,2112, layernorm_3_111(16896)
matmul_26_171,1x11x48,2112,2256,2176,,blocks.1.sa.heads.4,2596,2112, dropout_15_169(484) linear_42_170(2112)
linear_43_172,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.5.key,16896,2112, layernorm_3_111(16896)
linear_44_173,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.5.query,16896,2112, layernorm_3_111(16896)
transpose_14_174,1x48x11,2112,2256,2176,,,2112,2112, linear_43_172(2112)
matmul_27_175,1x11x11,484,628,548,,,4224,484, linear_44_173(2112) transpose_14_174(2112)
mul_14_176,1x11x11,484,628,548,,,484,484, matmul_27_175(484)
getitem_14_177,11x11,484,612,262208,,,262144,484, buffer_14(262144)
eq_14_178,11x11,121,249,185,,,484,121, getitem_14_177(484)
maskedfill_14_179,1x11x11,484,628,548,,,605,484, mul_14_176(484) eq_14_178(121)
softmax_14_180,1x11x11,484,628,548,,,484,484, maskedfill_14_179(484)
dropout_16_181,1x11x11,484,628,548,,blocks.1.sa.heads.5.dropout,484,484, softmax_14_180(484)
linear_45_182,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.5.value,16896,2112, layernorm_3_111(16896)
matmul_28_183,1x11x48,2112,2256,2176,,blocks.1.sa.heads.5,2596,2112, dropout_16_181(484) linear_45_182(2112)
linear_46_184,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.6.key,16896,2112, layernorm_3_111(16896)
linear_47_185,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.6.query,16896,2112, layernorm_3_111(16896)
transpose_15_186,1x48x11,2112,2256,2176,,,2112,2112, linear_46_184(2112)
matmul_29_187,1x11x11,484,628,548,,,4224,484, linear_47_185(2112) transpose_15_186(2112)
mul_15_188,1x11x11,484,628,548,,,484,484, matmul_29_187(484)
getitem_15_189,11x11,484,612,262208,,,262144,484, buffer_15(262144)
eq_15_190,11x11,121,249,185,,,484,121, getitem_15_189(484)
maskedfill_15_191,1x11x11,484,628,548,,,605,484, mul_15_188(484) eq_15_190(121)
softmax_15_192,1x11x11,484,628,548,,,484,484, maskedfill_15_191(484)
dropout_17_193,1x11x11,484,628,548,,blocks.1.sa.heads.6.dropout,484,484, softmax_15_192(484)
linear_48_194,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.6.value,16896,2112, layernorm_3_111(16896)
matmul_30_195,1x11x48,2112,2256,2176,,blocks.1.sa.heads.6,2596,2112, dropout_17_193(484) linear_48_194(2112)
linear_49_196,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.7.key,16896,2112, layernorm_3_111(16896)
linear_50_197,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.7.query,16896,2112, layernorm_3_111(16896)
transpose_16_198,1x48x11,2112,2256,2176,,,2112,2112, linear_49_196(2112)
matmul_31_199,1x11x11,484,628,548,,,4224,484, linear_50_197(2112) transpose_16_198(2112)
mul_16_200,1x11x11,484,628,548,,,484,484, matmul_31_199(484)
getitem_16_201,11x11,484,612,262208,,,262144,484, buffer_16(262144)
eq_16_202,11x11,121,249,185,,,484,121, getitem_16_201(484)
maskedfill_16_203,1x11x11,484,628,548,,,605,484, mul_16_200(484) eq_16_202(121)
softmax_16_204,1x11x11,484,628,548,,,484,484, maskedfill_16_203(484)
dropout_18_205,1x11x11,484,628,548,,blocks.1.sa.heads.7.dropout,484,484, softmax_16_204(484)
linear_51_206,1x11x48,2112,2256,2176,params: 48x384,blocks.1.sa.heads.7.value,16896,2112, layernorm_3_111(16896)
matmul_32_207,1x11x48,2112,2256,2176,,blocks.1.sa.heads.7,2596,2112, dropout_18_205(484) linear_51_206(2112)
cat_2_208,1x11x384,16896,17040,16960,,,16896,16896, matmul_18_123(2112) matmul_20_135(2112) matmul_22_147(2112) matmul_24_159(2112) matmul_26_171(2112) matmul_28_183(2112) matmul_30_195(2112) matmul_32_207(2112)
linear_52_209,1x11x384,16896,17040,16960,"params: 384x384, x384",blocks.1.sa.proj,16896,16896, cat_2_208(16896)
dropout_19_210,1x11x384,16896,17040,16960,,blocks.1.sa.dropout,16896,16896, linear_52_209(16896)
add_3_211,1x11x384,16896,17040,16960,,,33792,16896, add_2_105:2(16896) dropout_19_210(16896)
layernorm_4_212,1x11x384,16896,17040,16960,"params: x384, x384",blocks.1.ln2,16896,16896, add_3_211:1(16896)
linear_53_213,1x11x1536,67584,67728,67648,"params: 1536x384, x1536",blocks.1.ffwd.net.0,16896,67584, layernorm_4_212(16896)
relu_2_214,1x11x1536,67584,67728,67648,,blocks.1.ffwd.net.1,67584,67584, linear_53_213(67584)
linear_54_215,1x11x384,16896,17040,16960,"params: 384x1536, x384",blocks.1.ffwd.net.2,67584,16896, relu_2_214(67584)
dropout_20_216,1x11x384,16896,17040,16960,,blocks.1.ffwd.net.3,16896,16896, linear_54_215(16896)
add_3_211,1x11x384,16896,17040,16960,,,33792,16896, add_3_211:1(16896) dropout_20_216(16896)
layernorm_5_217,1x11x384,16896,17040,16960,"params: x384, x384",blocks.2.ln1,16896,16896, add_3_211:2(16896)
linear_55_218,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.0.key,16896,2112, layernorm_5_217(16896)
linear_56_219,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.0.query,16896,2112, layernorm_5_217(16896)
transpose_17_220,1x48x11,2112,2256,2176,,,2112,2112, linear_55_218(2112)
matmul_33_221,1x11x11,484,628,548,,,4224,484, linear_56_219(2112) transpose_17_220(2112)
mul_17_222,1x11x11,484,628,548,,,484,484, matmul_33_221(484)
getitem_17_223,11x11,484,612,262208,,,262144,484, buffer_17(262144)
eq_17_224,11x11,121,249,185,,,484,121, getitem_17_223(484)
maskedfill_17_225,1x11x11,484,628,548,,,605,484, mul_17_222(484) eq_17_224(121)
softmax_17_226,1x11x11,484,628,548,,,484,484, maskedfill_17_225(484)
dropout_21_227,1x11x11,484,628,548,,blocks.2.sa.heads.0.dropout,484,484, softmax_17_226(484)
linear_57_228,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.0.value,16896,2112, layernorm_5_217(16896)
matmul_34_229,1x11x48,2112,2256,2176,,blocks.2.sa.heads.0,2596,2112, dropout_21_227(484) linear_57_228(2112)
linear_58_230,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.1.key,16896,2112, layernorm_5_217(16896)
linear_59_231,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.1.query,16896,2112, layernorm_5_217(16896)
transpose_18_232,1x48x11,2112,2256,2176,,,2112,2112, linear_58_230(2112)
matmul_35_233,1x11x11,484,628,548,,,4224,484, linear_59_231(2112) transpose_18_232(2112)
mul_18_234,1x11x11,484,628,548,,,484,484, matmul_35_233(484)
getitem_18_235,11x11,484,612,262208,,,262144,484, buffer_18(262144)
eq_18_236,11x11,121,249,185,,,484,121, getitem_18_235(484)
maskedfill_18_237,1x11x11,484,628,548,,,605,484, mul_18_234(484) eq_18_236(121)
softmax_18_238,1x11x11,484,628,548,,,484,484, maskedfill_18_237(484)
dropout_22_239,1x11x11,484,628,548,,blocks.2.sa.heads.1.dropout,484,484, softmax_18_238(484)
linear_60_240,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.1.value,16896,2112, layernorm_5_217(16896)
matmul_36_241,1x11x48,2112,2256,2176,,blocks.2.sa.heads.1,2596,2112, dropout_22_239(484) linear_60_240(2112)
linear_61_242,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.2.key,16896,2112, layernorm_5_217(16896)
linear_62_243,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.2.query,16896,2112, layernorm_5_217(16896)
transpose_19_244,1x48x11,2112,2256,2176,,,2112,2112, linear_61_242(2112)
matmul_37_245,1x11x11,484,628,548,,,4224,484, linear_62_243(2112) transpose_19_244(2112)
mul_19_246,1x11x11,484,628,548,,,484,484, matmul_37_245(484)
getitem_19_247,11x11,484,612,262208,,,262144,484, buffer_19(262144)
eq_19_248,11x11,121,249,185,,,484,121, getitem_19_247(484)
maskedfill_19_249,1x11x11,484,628,548,,,605,484, mul_19_246(484) eq_19_248(121)
softmax_19_250,1x11x11,484,628,548,,,484,484, maskedfill_19_249(484)
dropout_23_251,1x11x11,484,628,548,,blocks.2.sa.heads.2.dropout,484,484, softmax_19_250(484)
linear_63_252,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.2.value,16896,2112, layernorm_5_217(16896)
matmul_38_253,1x11x48,2112,2256,2176,,blocks.2.sa.heads.2,2596,2112, dropout_23_251(484) linear_63_252(2112)
linear_64_254,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.3.key,16896,2112, layernorm_5_217(16896)
linear_65_255,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.3.query,16896,2112, layernorm_5_217(16896)
transpose_20_256,1x48x11,2112,2256,2176,,,2112,2112, linear_64_254(2112)
matmul_39_257,1x11x11,484,628,548,,,4224,484, linear_65_255(2112) transpose_20_256(2112)
mul_20_258,1x11x11,484,628,548,,,484,484, matmul_39_257(484)
getitem_20_259,11x11,484,612,262208,,,262144,484, buffer_20(262144)
eq_20_260,11x11,121,249,185,,,484,121, getitem_20_259(484)
maskedfill_20_261,1x11x11,484,628,548,,,605,484, mul_20_258(484) eq_20_260(121)
softmax_20_262,1x11x11,484,628,548,,,484,484, maskedfill_20_261(484)
dropout_24_263,1x11x11,484,628,548,,blocks.2.sa.heads.3.dropout,484,484, softmax_20_262(484)
linear_66_264,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.3.value,16896,2112, layernorm_5_217(16896)
matmul_40_265,1x11x48,2112,2256,2176,,blocks.2.sa.heads.3,2596,2112, dropout_24_263(484) linear_66_264(2112)
linear_67_266,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.4.key,16896,2112, layernorm_5_217(16896)
linear_68_267,1x11x48,2112,2256,2176,params: 48x384,blocks.2.sa.heads.4.query,16896,2112, layernorm_5_217(16896)
transpose_21_268,1x48x11,2112,2256,2176,,,2112,2112, linear_67_266(2112)
matmul_41_269,1x11x11,484,628,548,,,4224,484, linear_68_267(2112) transpose_21_268(2112)
mul_21_270,1x11x11,484,628,548,,,484,484, matmul_41_269(484)
getitem_21_271,11x11,484,612,262208,,,262144,484, buffer_21(262144)
